product_name,product_url,product_rating,product_price,product_revenue
sneaker Prima cho bé,https://shopee.vn/sneaker-Prima-cho-b%C3%A9-i.15425603.16493247010?sp_atk=3e69cb4c-b224-44f9-a4a6-bb6768839f5e&xptdk=3e69cb4c-b224-44f9-a4a6-bb6768839f5e,4.909,198000,19800000.0
DÉP SỤC CHO BÉ ĐẾ 3CM TẶNG KÈM STICKER NGẪU NHIÊN THEO ĐỢT HÀNG,https://shopee.vn/D%C3%89P-S%E1%BB%A4C-CHO-B%C3%89-%C4%90%E1%BA%BE-3CM-T%E1%BA%B6NG-K%C3%88M-STICKER-NG%E1%BA%AAU-NHI%C3%8AN-THEO-%C4%90%E1%BB%A2T-H%C3%80NG-i.146356987.18861035113?sp_atk=e4dd673f-5396-4014-8c66-f2c12f285abf&xptdk=e4dd673f-5396-4014-8c66-f2c12f285abf,4.776,11000 - 55000,5555000.0 - 27775000.0
Dép chữ H- Dép HM các màu da mềm hàng loại 1,https://shopee.vn/D%C3%A9p-ch%E1%BB%AF-H-D%C3%A9p-HM-c%C3%A1c-m%C3%A0u-da-m%E1%BB%81m-h%C3%A0ng-lo%E1%BA%A1i-1-i.475339820.12529865631?sp_atk=07f068b2-cbcd-4423-9906-7e01e3fdc43c&xptdk=07f068b2-cbcd-4423-9906-7e01e3fdc43c,4.884,118750,973750000.0
Giày tập đi cho bé mềm mại chống trơn trượt dễ thương cho bé|Giày tập đi cho bé trai bé gái,https://shopee.vn/Gi%C3%A0y-t%E1%BA%ADp-%C4%91i-cho-b%C3%A9-m%E1%BB%81m-m%E1%BA%A1i-ch%E1%BB%91ng-tr%C6%A1n-tr%C6%B0%E1%BB%A3t-d%E1%BB%85-th%C6%B0%C6%A1ng-cho-b%C3%A9-Gi%C3%A0y-t%E1%BA%ADp-%C4%91i-cho-b%C3%A9-trai-b%C3%A9-g%C3%A1i-i.63675791.2023203572?sp_atk=4db0af41-f519-4e7a-a834-103d105e57ac&xptdk=4db0af41-f519-4e7a-a834-103d105e57ac,4.956,65000,546000000.0
Giày thể thao cao cổ bé trai KIKE,https://shopee.vn/Gi%C3%A0y-th%E1%BB%83-thao-cao-c%E1%BB%95-b%C3%A9-trai-KIKE-i.136056712.6257780247?sp_atk=6adcf762-932a-41d6-945b-afbc53b89147&xptdk=6adcf762-932a-41d6-945b-afbc53b89147,4.953,169000 - 189000,2213900000.0 - 2475900000.0
Dép crocs Cheerful Mario EVA chống trượt thời trang mùa hè dành cho bé gái,https://shopee.vn/D%C3%A9p-crocs-Cheerful-Mario-EVA-ch%E1%BB%91ng-tr%C6%B0%E1%BB%A3t-th%E1%BB%9Di-trang-m%C3%B9a-h%C3%A8-d%C3%A0nh-cho-b%C3%A9-g%C3%A1i-i.446643571.23616112725?sp_atk=81207cf0-efbc-4c07-a40d-2fc1bc920ff5&xptdk=81207cf0-efbc-4c07-a40d-2fc1bc920ff5,4.951,145600,36691200.0
Giày sandal tập đi cho bé đế mềm chống trơn trượt xinh xắn,https://shopee.vn/Gi%C3%A0y-sandal-t%E1%BA%ADp-%C4%91i-cho-b%C3%A9-%C4%91%E1%BA%BF-m%E1%BB%81m-ch%E1%BB%91ng-tr%C6%A1n-tr%C6%B0%E1%BB%A3t-xinh-x%E1%BA%AFn-i.140177164.4434206657?sp_atk=d2a0f4b7-87b0-4e63-8b79-63856831f302&xptdk=d2a0f4b7-87b0-4e63-8b79-63856831f302,4.925,63000,94500000.0
Guốc gổ mộc cho bé cực kì đáng yêu,https://shopee.vn/Gu%E1%BB%91c-g%E1%BB%95-m%E1%BB%99c-cho-b%C3%A9-c%E1%BB%B1c-k%C3%AC-%C4%91%C3%A1ng-y%C3%AAu-i.43923071.7284103419?sp_atk=c828e3f9-eb4b-4867-8b6d-d567e515df67&xptdk=c828e3f9-eb4b-4867-8b6d-d567e515df67,4.859,15000 - 75000,45000000.0 - 225000000.0
Sandal Das Hot Hit Dành Cho Bé Trai Và Bé Gái Siêu Mềm Nhẹ Êm Chân,https://shopee.vn/Sandal-Das-Hot-Hit-D%C3%A0nh-Cho-B%C3%A9-Trai-V%C3%A0-B%C3%A9-G%C3%A1i-Si%C3%AAu-M%E1%BB%81m-Nh%E1%BA%B9-%C3%8Am-Ch%C3%A2n-i.229321218.23925848229?sp_atk=ec8d9e28-0e0f-4ca8-ba0f-9ede3b6d66bc&xptdk=ec8d9e28-0e0f-4ca8-ba0f-9ede3b6d66bc,4.976,305000,119865000.0
Giày lười cổ chun cho bé trai bé gái họa tiết đế bệt chống trơn trượt từ 1-7 tuổi,https://shopee.vn/Gi%C3%A0y-l%C6%B0%E1%BB%9Di-c%E1%BB%95-chun-cho-b%C3%A9-trai-b%C3%A9-g%C3%A1i-h%E1%BB%8Da-ti%E1%BA%BFt-%C4%91%E1%BA%BF-b%E1%BB%87t-ch%E1%BB%91ng-tr%C6%A1n-tr%C6%B0%E1%BB%A3t-t%E1%BB%AB-1-7-tu%E1%BB%95i-i.92928273.21732491051?sp_atk=936b5b0d-bebf-420e-8a36-62f503349bfc&xptdk=936b5b0d-bebf-420e-8a36-62f503349bfc,4.918,85000 - 92000,476000000.0 - 515200000.0
