product_name,product_url,product_rating,product_price,product_revenue
Free ship Sục nữ 2p siêu xinh 102,https://shopee.vn/Free-ship-S%E1%BB%A5c-n%E1%BB%AF-2p-si%C3%AAu-xinh-102-i.30161462.6247827576?sp_atk=b150a0f7-e45f-4a28-a102-dd39d74bde38&xptdk=b150a0f7-e45f-4a28-a102-dd39d74bde38,4.801,55500,599400000.0
BAILUDAREN.Banilaren♥Xăng đan Đế Thấp Thời Trang Hàn Quốc Dành Cho Nữ,https://shopee.vn/BAILUDAREN.Banilaren%E2%99%A5X%C4%83ng-%C4%91an-%C4%90%E1%BA%BF-Th%E1%BA%A5p-Th%E1%BB%9Di-Trang-H%C3%A0n-Qu%E1%BB%91c-D%C3%A0nh-Cho-N%E1%BB%AF-i.984696251.22580833751?sp_atk=896b87a8-de04-4560-aaa2-b60d8ce17bca&xptdk=896b87a8-de04-4560-aaa2-b60d8ce17bca,4.895,196000,96824000.0
"Dép nữ 3TDEP, dép sục độn đế 7cm Crocs gấu Bearbrick đá dây xích tặng kèm sticker",https://shopee.vn/D%C3%A9p-n%E1%BB%AF-3TDEP-d%C3%A9p-s%E1%BB%A5c-%C4%91%E1%BB%99n-%C4%91%E1%BA%BF-7cm-Crocs-g%E1%BA%A5u-Bearbrick-%C4%91%C3%A1-d%C3%A2y-x%C3%ADch-t%E1%BA%B7ng-k%C3%A8m-sticker-i.80514032.21988995230?sp_atk=431d12d7-8412-4353-9bbd-ded9f6659688&xptdk=431d12d7-8412-4353-9bbd-ded9f6659688,4.851,45000 - 95000,162000000.0 - 342000000.0
"(Đặt lùi 1 size) Giày lolita nữ da bóng quai ngọc hàng cao cấp,Giày mary mũi tròn đế vuông 5cm hack dáng xinh xắn",https://shopee.vn/(%C4%90%E1%BA%B7t-l%C3%B9i-1-size)-Gi%C3%A0y-lolita-n%E1%BB%AF-da-b%C3%B3ng-quai-ng%E1%BB%8Dc-h%C3%A0ng-cao-c%E1%BA%A5p-Gi%C3%A0y-mary-m%C5%A9i-tr%C3%B2n-%C4%91%E1%BA%BF-vu%C3%B4ng-5cm-hack-d%C3%A1ng-xinh-x%E1%BA%AFn-i.181590603.20586516159?sp_atk=fb1df135-40f0-485a-9184-9b602d43d852&xptdk=fb1df135-40f0-485a-9184-9b602d43d852,4.595,39000 - 99000,33384000.0 - 84744000.0
LIAOYUE Giày Oxford Nữ giày nữ oxford đế cao Thời Trang Mới 2023 Cho Nữ Bền Đàn hồi Đa dụng Chống bám bụi B20G05X 23120802,https://shopee.vn/LIAOYUE-Gi%C3%A0y-Oxford-N%E1%BB%AF-gi%C3%A0y-n%E1%BB%AF-oxford-%C4%91%E1%BA%BF-cao-Th%E1%BB%9Di-Trang-M%E1%BB%9Bi-2023-Cho-N%E1%BB%AF-B%E1%BB%81n-%C4%90%C3%A0n-h%E1%BB%93i-%C4%90a-d%E1%BB%A5ng-Ch%E1%BB%91ng-b%C3%A1m-b%E1%BB%A5i-B20G05X-23120802-i.984715111.21479943969?sp_atk=9f491db1-581c-4834-87ba-5b2a506edd95&xptdk=9f491db1-581c-4834-87ba-5b2a506edd95,4.616,189000,226800000.0
"XẢ KHO 2 NGÀY: Giày sục dạ mũi nhọn nơ xinh, dép nhung gót 3cm ( bít mũi nơ viền trắng)",https://shopee.vn/X%E1%BA%A2-KHO-2-NG%C3%80Y-Gi%C3%A0y-s%E1%BB%A5c-d%E1%BA%A1-m%C5%A9i-nh%E1%BB%8Dn-n%C6%A1-xinh-d%C3%A9p-nhung-g%C3%B3t-3cm-(-b%C3%ADt-m%C5%A9i-n%C6%A1-vi%E1%BB%81n-tr%E1%BA%AFng)-i.90980896.8931550982?sp_atk=5f46c92a-15ff-4201-9e9f-227b52470be1&xptdk=5f46c92a-15ff-4201-9e9f-227b52470be1,4.902,69900,964620000.0
UETEEY giày búp bê giày mary jane giày cao gót dép đế cao Thoải Mái Xinh Xắn Nổi bật Thể thao Tự nhiên Đế chống trơn trượt FLF23A0R6T 43Z231024,https://shopee.vn/UETEEY-gi%C3%A0y-b%C3%BAp-b%C3%AA-gi%C3%A0y-mary-jane-gi%C3%A0y-cao-g%C3%B3t-d%C3%A9p-%C4%91%E1%BA%BF-cao-Tho%E1%BA%A3i-M%C3%A1i-Xinh-X%E1%BA%AFn-N%E1%BB%95i-b%E1%BA%ADt-Th%E1%BB%83-thao-T%E1%BB%B1-nhi%C3%AAn-%C4%90%E1%BA%BF-ch%E1%BB%91ng-tr%C6%A1n-tr%C6%B0%E1%BB%A3t-FLF23A0R6T-43Z231024-i.984703818.23858948034?sp_atk=c65fd3cb-6aa4-4eb5-bd32-785d80cb968e&xptdk=c65fd3cb-6aa4-4eb5-bd32-785d80cb968e,4.86,169000,20618000.0
Dép sục nữ mix khóa phối dây hậu đế cao 3p gót vuông siêu đẹp,https://shopee.vn/D%C3%A9p-s%E1%BB%A5c-n%E1%BB%AF-mix-kh%C3%B3a-ph%E1%BB%91i-d%C3%A2y-h%E1%BA%ADu-%C4%91%E1%BA%BF-cao-3p-g%C3%B3t-vu%C3%B4ng-si%C3%AAu-%C4%91%E1%BA%B9p-i.30161462.17191910380?sp_atk=fd8300af-88f0-42ef-a882-a2595a3f1889&xptdk=fd8300af-88f0-42ef-a882-a2595a3f1889,4.712,35000 - 75000,34055000.0 - 72975000.0
Giày búp bê nữ tăng chiêu cao da bóng lolita mã GRP7 cao 3P,https://shopee.vn/Gi%C3%A0y-b%C3%BAp-b%C3%AA-n%E1%BB%AF-t%C4%83ng-chi%C3%AAu-cao-da-b%C3%B3ng-lolita-m%C3%A3-GRP7-cao-3P-i.1015146789.17196677057?sp_atk=98d94152-cd4d-4c70-a215-e0826bd46f4c&xptdk=98d94152-cd4d-4c70-a215-e0826bd46f4c,4.88,75000,18225000.0
CÓ HÀNG:Giày búp bê Mary Jane nữ da mềm đế bằng cao 3cm phong cách học sinh Nhật Bản -ZINZIN3456(lolita 1 quai mix màu),https://shopee.vn/C%C3%93-H%C3%80NG-Gi%C3%A0y-b%C3%BAp-b%C3%AA-Mary-Jane-n%E1%BB%AF-da-m%E1%BB%81m-%C4%91%E1%BA%BF-b%E1%BA%B1ng-cao-3cm-phong-c%C3%A1ch-h%E1%BB%8Dc-sinh-Nh%E1%BA%ADt-B%E1%BA%A3n-ZINZIN3456(lolita-1-quai-mix-m%C3%A0u)-i.31966909.11697916820?sp_atk=bf92d85a-5198-4884-806f-7f19610cd8f8&xptdk=bf92d85a-5198-4884-806f-7f19610cd8f8,4.774,82500,74827500.0
Giày Búp Bê Vintage - Giày Lolita Tiểu Thư Quai Cài Dây Phong Cách Ulzzang Nhật Bản NB 220,https://shopee.vn/Gi%C3%A0y-B%C3%BAp-B%C3%AA-Vintage-Gi%C3%A0y-Lolita-Ti%E1%BB%83u-Th%C6%B0-Quai-C%C3%A0i-D%C3%A2y-Phong-C%C3%A1ch-Ulzzang-Nh%E1%BA%ADt-B%E1%BA%A3n-NB-220-i.181590603.21745671476?sp_atk=5c1f0988-ec9f-49ed-8421-4931de006292&xptdk=5c1f0988-ec9f-49ed-8421-4931de006292,4.463,20000 - 79000,2840000.0 - 11218000.0
Giày búp bê Mary Jane nữ da mềm CHIBAMY đế bằng cao 3cm phong cách học sinh Nhật Bản,https://shopee.vn/Gi%C3%A0y-b%C3%BAp-b%C3%AA-Mary-Jane-n%E1%BB%AF-da-m%E1%BB%81m-CHIBAMY-%C4%91%E1%BA%BF-b%E1%BA%B1ng-cao-3cm-phong-c%C3%A1ch-h%E1%BB%8Dc-sinh-Nh%E1%BA%ADt-B%E1%BA%A3n-i.50550527.19527408353?sp_atk=057f06b3-7147-4d64-bceb-a3c8048e5a5c&xptdk=057f06b3-7147-4d64-bceb-a3c8048e5a5c,4.932,125000,825000000.0
"Dép Sục GG Nữ, Dép Nữ Độn Đế Cao Su Đúc Cao Cấp Đế Cao 3,5cm Hot Trend 2023",https://shopee.vn/D%C3%A9p-S%E1%BB%A5c-GG-N%E1%BB%AF-D%C3%A9p-N%E1%BB%AF-%C4%90%E1%BB%99n-%C4%90%E1%BA%BF-Cao-Su-%C4%90%C3%BAc-Cao-C%E1%BA%A5p-%C4%90%E1%BA%BF-Cao-3-5cm-Hot-Trend-2023-i.686768652.24300803961?sp_atk=ff588a8e-5b6f-4081-a611-4dab8f3e4697&xptdk=ff588a8e-5b6f-4081-a611-4dab8f3e4697,4.819,55000 - 58900,36520000.0 - 39109600.0
GIÀY BÉP BÊ LOLITA MIU MIU CHẤT DA BÓNG ĐẾ 3CM SIÊU HÓT HÍT MÃ 260,https://shopee.vn/GI%C3%80Y-B%C3%89P-B%C3%8A-LOLITA-MIU-MIU-CH%E1%BA%A4T-DA-B%C3%93NG-%C4%90%E1%BA%BE-3CM-SI%C3%8AU-H%C3%93T-H%C3%8DT-M%C3%83-260-i.703424344.25550885011?sp_atk=8df2e8ad-7374-421a-ab93-616888cd8890&xptdk=8df2e8ad-7374-421a-ab93-616888cd8890,4.77,82810,132496000.0
"(Đặt lùi 1 size) Giày búp bê nữ tăng chiều cao da lì,giày lolita mũi tròn quai ngọc phối nơ siêu xinh G50",https://shopee.vn/(%C4%90%E1%BA%B7t-l%C3%B9i-1-size)-Gi%C3%A0y-b%C3%BAp-b%C3%AA-n%E1%BB%AF-t%C4%83ng-chi%E1%BB%81u-cao-da-l%C3%AC-gi%C3%A0y-lolita-m%C5%A9i-tr%C3%B2n-quai-ng%E1%BB%8Dc-ph%E1%BB%91i-n%C6%A1-si%C3%AAu-xinh-G50-i.181590603.25651369509?sp_atk=2e67bbc0-2648-4f4f-bdf5-bf141de247fa&xptdk=2e67bbc0-2648-4f4f-bdf5-bf141de247fa,4.878,30000 - 109000,3660000.0 - 13298000.0
"Giày Sục Nữ Đế Răng Cưa Cao 6cm Siêu Nhẹ, Dép Nữ Đế Xuồng dễ phối đồ",https://shopee.vn/Gi%C3%A0y-S%E1%BB%A5c-N%E1%BB%AF-%C4%90%E1%BA%BF-R%C4%83ng-C%C6%B0a-Cao-6cm-Si%C3%AAu-Nh%E1%BA%B9-D%C3%A9p-N%E1%BB%AF-%C4%90%E1%BA%BF-Xu%E1%BB%93ng-d%E1%BB%85-ph%E1%BB%91i-%C4%91%E1%BB%93-i.686768652.21686346476?sp_atk=eb73821b-8e21-4cb7-bea6-f08953fe3971&xptdk=eb73821b-8e21-4cb7-bea6-f08953fe3971,4.738,65000 - 78500,17615000.0 - 21273500.0
Giày marry janes nữ FAROSA đế bằng phối quai xích ngọc cực sang chảnh V57,https://shopee.vn/Gi%C3%A0y-marry-janes-n%E1%BB%AF-FAROSA-%C4%91%E1%BA%BF-b%E1%BA%B1ng-ph%E1%BB%91i-quai-x%C3%ADch-ng%E1%BB%8Dc-c%E1%BB%B1c-sang-ch%E1%BA%A3nh-V57-i.425841567.21514504789?sp_atk=6b88f7c1-fc13-4349-a52a-141661ff2a3f&xptdk=6b88f7c1-fc13-4349-a52a-141661ff2a3f,4.835,129000 - 139000,696600000.0 - 750600000.0
