product_name,product_url,product_rating,product_price,product_revenue
Bún nưa Mì nưa Miến nưa Phở nưa Cơm nưa Đậu nưa Vị Nguyên,https://shopee.vn/B%C3%BAn-n%C6%B0a-M%C3%AC-n%C6%B0a-Mi%E1%BA%BFn-n%C6%B0a-Ph%E1%BB%9F-n%C6%B0a-C%C6%A1m-n%C6%B0a-%C4%90%E1%BA%ADu-n%C6%B0a-V%E1%BB%8B-Nguy%C3%AAn-i.29331217.407206327?sp_atk=64282072-c628-4751-9f6e-dce40ece6ce6&xptdk=64282072-c628-4751-9f6e-dce40ece6ce6,4.981,15000 - 30000,1074000000.0 - 2148000000.0
Đặc Sản Sài Gòn 25k/100g Khô Gà Lá Chanh Loại Ngon thientustoret,https://shopee.vn/%C4%90%E1%BA%B7c-S%E1%BA%A3n-S%C3%A0i-G%C3%B2n-25k-100g-Kh%C3%B4-G%C3%A0-L%C3%A1-Chanh-Lo%E1%BA%A1i-Ngon-thientustoret-i.62952238.10912645470?sp_atk=0e2332f9-74e1-47ec-9d34-2ba65817ff98&xptdk=0e2332f9-74e1-47ec-9d34-2ba65817ff98,4.607,19000,190000000.0
1kg (gồm 2 túi 500g) LẠP XƯỞNG TƯƠI LONG AN,https://shopee.vn/1kg-(g%E1%BB%93m-2-t%C3%BAi-500g)-L%E1%BA%A0P-X%C6%AF%E1%BB%9ENG-T%C6%AF%C6%A0I-LONG-AN-i.61926514.7916536617?sp_atk=904fb2c0-60b4-4992-b0d7-c15b7411e2bd&xptdk=904fb2c0-60b4-4992-b0d7-c15b7411e2bd,4.882,135000,1026000000.0
Patê Cột Đèn Hải Phòng 150G Đồ Hộp Hạ Long,https://shopee.vn/Pat%C3%AA-C%E1%BB%99t-%C4%90%C3%A8n-H%E1%BA%A3i-Ph%C3%B2ng-150G-%C4%90%E1%BB%93-H%E1%BB%99p-H%E1%BA%A1-Long-i.69987000.20661598345?sp_atk=dd3a3835-3eea-439f-9ddb-d4ef46937fde&xptdk=dd3a3835-3eea-439f-9ddb-d4ef46937fde,4.943,19400 - 43700,71780000.0 - 161690000.0
"Bún nưa, mì nưa, cơm nưa, miến nưa, phở nưa, đậu nưa ăn kiêng giảm cân keto/das/lowcarb/eatclean Shirataki Vị Nguyên",https://shopee.vn/B%C3%BAn-n%C6%B0a-m%C3%AC-n%C6%B0a-c%C6%A1m-n%C6%B0a-mi%E1%BA%BFn-n%C6%B0a-ph%E1%BB%9F-n%C6%B0a-%C4%91%E1%BA%ADu-n%C6%B0a-%C4%83n-ki%C3%AAng-gi%E1%BA%A3m-c%C3%A2n-keto-das-lowcarb-eatclean-Shirataki-V%E1%BB%8B-Nguy%C3%AAn-i.271308530.17519219674?sp_atk=3b9e5825-3523-451a-8884-9a6510743dbf&xptdk=3b9e5825-3523-451a-8884-9a6510743dbf,4.907,18000 - 31000,207000000.0 - 356500000.0
TÁO ĐỎ SẤY KHÔ HÀN QUỐC BOEUN LOESS JUJUBE 1kg DATE 2025,https://shopee.vn/T%C3%81O-%C4%90%E1%BB%8E-S%E1%BA%A4Y-KH%C3%94-H%C3%80N-QU%E1%BB%90C-BOEUN-LOESS-JUJUBE-1kg-DATE-2025-i.184925472.3361616916?sp_atk=b09a515d-7e43-4734-814c-feb0faf605f2&xptdk=b09a515d-7e43-4734-814c-feb0faf605f2,4.721,49000,284200000.0
"Khô cá lóc đồng tháp 1kg phơi tự nhiên, ít mặn, dai thơm nhiều thịt , loại khô cá ngon dùng nướng chiên rất ngon",https://shopee.vn/Kh%C3%B4-c%C3%A1-l%C3%B3c-%C4%91%E1%BB%93ng-th%C3%A1p-1kg-ph%C6%A1i-t%E1%BB%B1-nhi%C3%AAn-%C3%ADt-m%E1%BA%B7n-dai-th%C6%A1m-nhi%E1%BB%81u-th%E1%BB%8Bt-lo%E1%BA%A1i-kh%C3%B4-c%C3%A1-ngon-d%C3%B9ng-n%C6%B0%E1%BB%9Bng-chi%C3%AAn-r%E1%BA%A5t-ngon-i.62952238.8168919141?sp_atk=2bacbda5-9884-45f9-a216-61cc9e4db11c&xptdk=2bacbda5-9884-45f9-a216-61cc9e4db11c,4.74,62000 - 250000,241800000.0 - 975000000.0
1 Túi Táo Đỏ Tân Cương 500gr,https://shopee.vn/1-T%C3%BAi-T%C3%A1o-%C4%90%E1%BB%8F-T%C3%A2n-C%C6%B0%C6%A1ng-500gr-i.19202634.2557919020?sp_atk=8bf4763d-9a9a-423f-882a-370b015e8747&xptdk=8bf4763d-9a9a-423f-882a-370b015e8747,4.693,9000 - 30000,45000000.0 - 150000000.0
Bánh canh gạo lứt eatclean đặc sản Sa Đéc Tây Nguyên Food - Việt Nam 500g/1kg,https://shopee.vn/B%C3%A1nh-canh-g%E1%BA%A1o-l%E1%BB%A9t-eatclean-%C4%91%E1%BA%B7c-s%E1%BA%A3n-Sa-%C4%90%C3%A9c-T%C3%A2y-Nguy%C3%AAn-Food-Vi%E1%BB%87t-Nam-500g-1kg-i.494267954.13546571501?sp_atk=47b74b82-8e3e-48c6-9c84-a7d820eed788&xptdk=47b74b82-8e3e-48c6-9c84-a7d820eed788,4.948,69000 - 112000,296700000.0 - 481600000.0
1Kg Phô Mai Mozzazzella Kéo Sợi TẶNG 1 gói đá Gel giữ nhiệt 500g (chỉ giao HCM),https://shopee.vn/1Kg-Ph%C3%B4-Mai-Mozzazzella-K%C3%A9o-S%E1%BB%A3i-T%E1%BA%B6NG-1-g%C3%B3i-%C4%91%C3%A1-Gel-gi%E1%BB%AF-nhi%E1%BB%87t-500g-(ch%E1%BB%89-giao-HCM)-i.69017384.4740578021?sp_atk=db637ce1-5af2-4c1b-93fa-ef802d251186&xptdk=db637ce1-5af2-4c1b-93fa-ef802d251186,4.827,86000 - 165000,232200000.0 - 445500000.0
Nước chấm xoài thần thánh siêu đậm đặc CHÍNH HÃNG,https://shopee.vn/N%C6%B0%E1%BB%9Bc-ch%E1%BA%A5m-xo%C3%A0i-th%E1%BA%A7n-th%C3%A1nh-si%C3%AAu-%C4%91%E1%BA%ADm-%C4%91%E1%BA%B7c-CH%C3%8DNH-H%C3%83NG-i.72569504.4018476426?sp_atk=2a9f10b2-beed-4356-add2-dc17091195b3&xptdk=2a9f10b2-beed-4356-add2-dc17091195b3,4.839,19000 - 50000,70300000.0 - 185000000.0
