product_name,product_url,product_rating,product_price,product_revenue
Máy Game PS4 Slim 500GB likenew 99%,https://shopee.vn/M%C3%A1y-Game-PS4-Slim-500GB-likenew-99--i.70477837.7617703002?sp_atk=3f8e50e0-59af-4aa4-8856-9cd144126335&xptdk=3f8e50e0-59af-4aa4-8856-9cd144126335,4.984,3690000 - 5890000,1295190000.0 - 2067390000.0
"( BẢN MỚI V3 KẾT NỐI TIVI ) Máy chơi game Shikumi- G7 ProV3 - Giả lập GBA, GBC, MD, Neogeo, CPS 1-2 , FC....",https://shopee.vn/(-B%E1%BA%A2N-M%E1%BB%9AI-V3-K%E1%BA%BET-N%E1%BB%90I-TIVI-)-M%C3%A1y-ch%C6%A1i-game-Shikumi-G7-ProV3-Gi%E1%BA%A3-l%E1%BA%ADp-GBA-GBC-MD-Neogeo-CPS-1-2-FC....-i.1088368125.23983186753?sp_atk=086894cf-da28-4905-9c62-58842d73b7af&xptdk=086894cf-da28-4905-9c62-58842d73b7af,5.0,130000 - 599000,1560000.0 - 7188000.0
Máy Chơi Game Cầm Tay Mini Màn Hình 3 inch IPS 6000 + Trò Chơi Cổ Điển,https://shopee.vn/M%C3%A1y-Ch%C6%A1i-Game-C%E1%BA%A7m-Tay-Mini-M%C3%A0n-H%C3%ACnh-3-inch-IPS-6000-Tr%C3%B2-Ch%C6%A1i-C%E1%BB%95-%C4%90i%E1%BB%83n-i.886658303.23266715612?sp_atk=7132d331-b66a-4026-b417-129dc21887e6&xptdk=7132d331-b66a-4026-b417-129dc21887e6,5.0,418000 - 444740,4598000.0 - 4892140.0
Máy chơi game Nintendo Switch Lite,https://shopee.vn/M%C3%A1y-ch%C6%A1i-game-Nintendo-Switch-Lite-i.789712245.13293690886?sp_atk=454d2d7b-9cbd-4be5-8609-b344ac8118c8&xptdk=454d2d7b-9cbd-4be5-8609-b344ac8118c8,5.0,4600000 - 5090000,138000000.0 - 152700000.0
Máy Nintendo Switch V2 / OLED,https://shopee.vn/M%C3%A1y-Nintendo-Switch-V2-OLED-i.97117341.6610040420?sp_atk=e11dadec-41a1-415a-9517-989bc6b6ddae&xptdk=e11dadec-41a1-415a-9517-989bc6b6ddae,4.99,6490000 - 9200000,3550030000.0 - 5032400000.0
Máy chơi game Playstation 4 (PS4) Pro 1TB 2ND,https://shopee.vn/M%C3%A1y-ch%C6%A1i-game-Playstation-4-(PS4)-Pro-1TB-2ND-i.789712245.21309641889?sp_atk=df4c46db-9280-455b-90b2-080802a67c7e&xptdk=df4c46db-9280-455b-90b2-080802a67c7e,4.923,4900000 - 7900000,421400000.0 - 679400000.0
Máy chơi Game Playstation PS2 chạy ổ cứng 500GB (Hỗ trợ cài game theo yêu cầu) [TẶNG MÓC KHÓA],https://shopee.vn/M%C3%A1y-ch%C6%A1i-Game-Playstation-PS2-ch%E1%BA%A1y-%E1%BB%95-c%E1%BB%A9ng-500GB-(H%E1%BB%97-tr%E1%BB%A3-c%C3%A0i-game-theo-y%C3%AAu-c%E1%BA%A7u)-T%E1%BA%B6NG-M%C3%93C-KH%C3%93A--i.1102132280.25000553125?sp_atk=692abfda-7719-4172-b450-41426cbefad8&xptdk=692abfda-7719-4172-b450-41426cbefad8,,69000,345000.0
Máy chơi game Nintendo Switch Oled,https://shopee.vn/M%C3%A1y-ch%C6%A1i-game-Nintendo-Switch-Oled-i.789712245.20209630925?sp_atk=cb044c36-39cb-45f0-ae75-4558ada4431d&xptdk=cb044c36-39cb-45f0-ae75-4558ada4431d,4.972,7290000 - 7790000,772740000.0 - 825740000.0
Máy chơi Game Nintendo 3DS ( kho 2000 game free),https://shopee.vn/M%C3%A1y-ch%C6%A1i-Game-Nintendo-3DS-(-kho-2000-game-free)-i.316956.6255174395?sp_atk=54c1c853-8a3f-4ad3-a051-e119e4171aac&xptdk=54c1c853-8a3f-4ad3-a051-e119e4171aac,4.989,1250000 - 1590000,1056250000.0 - 1343550000.0
Máy chơi game NES/SNES/GBC/GBA/SMC X6 1000 games... Hot trả lại tuổi thơ [TẶNG MÓC KHÓA],https://shopee.vn/M%C3%A1y-ch%C6%A1i-game-NES-SNES-GBC-GBA-SMC-X6-1000-games...-Hot-tr%E1%BA%A3-l%E1%BA%A1i-tu%E1%BB%95i-th%C6%A1-T%E1%BA%B6NG-M%C3%93C-KH%C3%93A--i.1102132280.20895121125?sp_atk=4eb2d7ff-29a6-4d0f-8076-1a6fd2b9bc88&xptdk=4eb2d7ff-29a6-4d0f-8076-1a6fd2b9bc88,,69000,
Máy chơi game Nintendo Switch Lite Hack,https://shopee.vn/M%C3%A1y-ch%C6%A1i-game-Nintendo-Switch-Lite-Hack-i.48651160.18688439287?sp_atk=b64eb949-ad6a-4822-8416-ec5d92a083fe&xptdk=b64eb949-ad6a-4822-8416-ec5d92a083fe,5.0,4300000 - 5500000,107500000.0 - 137500000.0
Máy Chơi Game Nintendo 3DS LL (Kho Game 5000+) Đầy Đủ Phụ Kiện,https://shopee.vn/M%C3%A1y-Ch%C6%A1i-Game-Nintendo-3DS-LL-(Kho-Game-5000-)-%C4%90%E1%BA%A7y-%C4%90%E1%BB%A7-Ph%E1%BB%A5-Ki%E1%BB%87n-i.11970788.18777565778?sp_atk=a14b5610-b9d5-4234-a630-f1972418107d&xptdk=a14b5610-b9d5-4234-a630-f1972418107d,4.958,990000 - 2490000,61380000.0 - 154380000.0
Máy Chơi Game Nintendo DS Lite NDS Full Game GBA/GBA/NDS/NES/SNES... Đầy Đủ Phụ Kiện,https://shopee.vn/M%C3%A1y-Ch%C6%A1i-Game-Nintendo-DS-Lite-NDS-Full-Game-GBA-GBA-NDS-NES-SNES...-%C4%90%E1%BA%A7y-%C4%90%E1%BB%A7-Ph%E1%BB%A5-Ki%E1%BB%87n-i.11970788.14203458846?sp_atk=7ea62b46-b181-4cdf-b97b-be328b06d1b3&xptdk=7ea62b46-b181-4cdf-b97b-be328b06d1b3,4.824,390000 - 890000,34710000.0 - 79210000.0
Máy game Nintendo Switch Lite Bản Like New ( HACK Free Game ),https://shopee.vn/M%C3%A1y-game-Nintendo-Switch-Lite-B%E1%BA%A3n-Like-New-(-HACK-Free-Game-)-i.316956.22673271933?sp_atk=debbaeef-d301-4f65-aae8-459a6e40e57f&xptdk=debbaeef-d301-4f65-aae8-459a6e40e57f,4.909,4090000 - 5150000,126790000.0 - 159650000.0
