product_name,product_url,product_rating,product_price,product_revenue
Đồng hồ Hot Nhất 2023,https://shopee.vn/%C4%90%E1%BB%93ng-h%E1%BB%93-Hot-Nh%E1%BA%A5t-2023-i.21852614.22082726539?sp_atk=40c9e48e-c6ef-42ce-a50e-c99e3a5c9da0&xptdk=40c9e48e-c6ef-42ce-a50e-c99e3a5c9da0,,45000,
(có hộp) Đồng hồ viviennewestwood dành cho cặp đôi,https://shopee.vn/(c%C3%B3-h%E1%BB%99p)-%C4%90%E1%BB%93ng-h%E1%BB%93-viviennewestwood-d%C3%A0nh-cho-c%E1%BA%B7p-%C4%91%C3%B4i-i.10731260.22572266115?sp_atk=3cc94643-f647-4fa8-ae39-8438f527f380&xptdk=3cc94643-f647-4fa8-ae39-8438f527f380,5.0,2750000,2750000.0
"[FULL BOX] Đồng hồ đeo tay nam nữ, đồng hồ nam nữ Rolex size từ 28mm đến 40mm Kính Saphire, thời trang siêu cấp giá rẻ",https://shopee.vn/-FULL-BOX-%C4%90%E1%BB%93ng-h%E1%BB%93-%C4%91eo-tay-nam-n%E1%BB%AF-%C4%91%E1%BB%93ng-h%E1%BB%93-nam-n%E1%BB%AF-Rolex-size-t%E1%BB%AB-28mm-%C4%91%E1%BA%BFn-40mm-K%C3%ADnh-Saphire-th%E1%BB%9Di-trang-si%C3%AAu-c%E1%BA%A5p-gi%C3%A1-r%E1%BA%BB-i.541472706.21194760092?sp_atk=84be91e5-b0e1-4ae5-b9cf-52f16757e061&xptdk=84be91e5-b0e1-4ae5-b9cf-52f16757e061,,1377000 - 1600000,nan - nan
"Đồng hồ Nam Tissot 1853 Le Locle cơ tự động, dây da, kính shapphire",https://shopee.vn/%C4%90%E1%BB%93ng-h%E1%BB%93-Nam-Tissot-1853-Le-Locle-c%C6%A1-t%E1%BB%B1-%C4%91%E1%BB%99ng-d%C3%A2y-da-k%C3%ADnh-shapphire-i.401664964.21694604853?sp_atk=0b9b1e7f-403b-4830-9f6b-69b81d868b82&xptdk=0b9b1e7f-403b-4830-9f6b-69b81d868b82,,1000000,
Đồng Hồ Đeo Tay fanmila Chính Hãng Bằng silicone Cho Nữ Sinh Trung Học,https://shopee.vn/%C4%90%E1%BB%93ng-H%E1%BB%93-%C4%90eo-Tay-fanmila-Ch%C3%ADnh-H%C3%A3ng-B%E1%BA%B1ng-silicone-Cho-N%E1%BB%AF-Sinh-Trung-H%E1%BB%8Dc-i.1064603612.22779923593?sp_atk=68379e81-7cae-48b8-b2c8-c8a289710d99&xptdk=68379e81-7cae-48b8-b2c8-c8a289710d99,,623632,
"Đồng hồ Dickies chính hãng, Ice cube trong suốt màu kẹo silicone vuông đồng hồ nam và nữ CL-318",https://shopee.vn/%C4%90%E1%BB%93ng-h%E1%BB%93-Dickies-ch%C3%ADnh-h%C3%A3ng-Ice-cube-trong-su%E1%BB%91t-m%C3%A0u-k%E1%BA%B9o-silicone-vu%C3%B4ng-%C4%91%E1%BB%93ng-h%E1%BB%93-nam-v%C3%A0-n%E1%BB%AF-CL-318-i.850255990.21043101802?sp_atk=e23edf87-f4ed-48d3-b4ce-f3692e7b31fa&xptdk=e23edf87-f4ed-48d3-b4ce-f3692e7b31fa,5.0,999500,3998000.0
Đồng Hồ Treo Tường Tròn R3 ( 30cm ),https://shopee.vn/%C4%90%E1%BB%93ng-H%E1%BB%93-Treo-T%C6%B0%E1%BB%9Dng-Tr%C3%B2n-R3-(-30cm-)-i.291658171.23249891397?sp_atk=94b676e1-7f89-41bf-b387-bf2eefa30d49&xptdk=94b676e1-7f89-41bf-b387-bf2eefa30d49,1.0,56000,112000.0
[Mã INBAU40 giảm 40K đơn 249K] Đồng Hồ Nam Nữ Cặp Đôi RENOS KIM Tif Watches Chống Nước Hợp Tặng Quà Người Yêu,https://shopee.vn/-M%C3%A3-INBAU40-gi%E1%BA%A3m-40K-%C4%91%C6%A1n-249K-%C4%90%E1%BB%93ng-H%E1%BB%93-Nam-N%E1%BB%AF-C%E1%BA%B7p-%C4%90%C3%B4i-RENOS-KIM-Tif-Watches-Ch%E1%BB%91ng-N%C6%B0%E1%BB%9Bc-H%E1%BB%A3p-T%E1%BA%B7ng-Qu%C3%A0-Ng%C6%B0%E1%BB%9Di-Y%C3%AAu-i.83270764.1791642066?sp_atk=9ad58b20-8701-41d3-be11-e20732002e47&xptdk=9ad58b20-8701-41d3-be11-e20732002e47,4.909,295000 - 590000,472000000.0 - 944000000.0
Đồng Hồ Thể Thao SKMEI Chống Thấm Nước Đa Chức Năng Với Đèn LED 50M Cho Nam Nữ,https://shopee.vn/%C4%90%E1%BB%93ng-H%E1%BB%93-Th%E1%BB%83-Thao-SKMEI-Ch%E1%BB%91ng-Th%E1%BA%A5m-N%C6%B0%E1%BB%9Bc-%C4%90a-Ch%E1%BB%A9c-N%C4%83ng-V%E1%BB%9Bi-%C4%90%C3%A8n-LED-50M-Cho-Nam-N%E1%BB%AF-i.170282937.18221428777?sp_atk=66737cca-1dbe-43da-ac8a-f5a68022236a&xptdk=66737cca-1dbe-43da-ac8a-f5a68022236a,4.704,218000 - 242000,33572000.0 - 37268000.0
Đồng hồ đôi nam nữ dây kim loại Casio Anh Khuê MTP/LTP VT01D-7B,https://shopee.vn/%C4%90%E1%BB%93ng-h%E1%BB%93-%C4%91%C3%B4i-nam-n%E1%BB%AF-d%C3%A2y-kim-lo%E1%BA%A1i-Casio-Anh-Khu%C3%AA-MTP-LTP-VT01D-7B-i.51586134.8231086917?sp_atk=38ac93d1-693f-49b1-aae1-4021aba65794&xptdk=38ac93d1-693f-49b1-aae1-4021aba65794,5.0,910260,30038580.0
