product_name,product_url,product_rating,product_price,product_revenue
Thẻ Vinaphone 10k,https://shopee.vn/Th%E1%BA%BB-Vinaphone-10k-i.330518145.18133257426?sp_atk=16992fcd-d02f-46de-ae67-5d3f9cc8ed64&xptdk=16992fcd-d02f-46de-ae67-5d3f9cc8ed64,4.878,11000,3322000.0
"Giảm giá data Viettel các gói v90c,st90,st120k,v120,v120n,v150c,st150k,v200c",https://shopee.vn/Gi%E1%BA%A3m-gi%C3%A1-data-Viettel-c%C3%A1c-g%C3%B3i-v90c-st90-st120k-v120-v120n-v150c-st150k-v200c-i.404435211.11421186689?sp_atk=8183eeed-9d45-41e5-9100-ae9b02f43dc1&xptdk=8183eeed-9d45-41e5-9100-ae9b02f43dc1,,80000 - 150000,160000.0 - 300000.0
Thẻ cào Vinaphone 50.000đ,https://shopee.vn/Th%E1%BA%BB-c%C3%A0o-Vinaphone-50.000%C4%91-i.126102250.9078628938?sp_atk=74a807a4-791c-40f2-8f92-59cbf2cd8cd6&xptdk=74a807a4-791c-40f2-8f92-59cbf2cd8cd6,4.956,49000 - 49500,16317000.0 - 16483500.0
Thẻ viettel 50.000 (chiết khấu cao),https://shopee.vn/Th%E1%BA%BB-viettel-50.000-(chi%E1%BA%BFt-kh%E1%BA%A5u-cao)-i.126102250.16468712074?sp_atk=75507b5a-c9f6-47bf-8d48-c765ebcdadfc&xptdk=75507b5a-c9f6-47bf-8d48-c765ebcdadfc,4.805,49500,9553500.0
Thẻ cào VinaPhone 500.000đ Chiết Khấu Cao,https://shopee.vn/Th%E1%BA%BB-c%C3%A0o-VinaPhone-500.000%C4%91-Chi%E1%BA%BFt-Kh%E1%BA%A5u-Cao-i.126102250.2527346690?sp_atk=f36b47eb-7f37-4d27-8cfd-c094b2ad25b9&xptdk=f36b47eb-7f37-4d27-8cfd-c094b2ad25b9,4.925,495000 - 499000,47025000.0 - 47405000.0
Thẻ nạp Vina 100k,https://shopee.vn/Th%E1%BA%BB-n%E1%BA%A1p-Vina-100k-i.129220414.11715698369?sp_atk=0d34dfdb-9850-4457-aee7-dca2675d3c5d&xptdk=0d34dfdb-9850-4457-aee7-dca2675d3c5d,4.961,99000 - 99500,79695000.0 - 80097500.0
Mã thẻ cào điện thoại Viettel 200k,https://shopee.vn/M%C3%A3-th%E1%BA%BB-c%C3%A0o-%C4%91i%E1%BB%87n-tho%E1%BA%A1i-Viettel-200k-i.2687216.643169875?sp_atk=a17ba209-1c45-489e-a3e2-d16fce8d8481&xptdk=a17ba209-1c45-489e-a3e2-d16fce8d8481,4.985,212000,144372000.0
Thẻ Mobifone 50.000đ (chiết khấu cao),https://shopee.vn/Th%E1%BA%BB-Mobifone-50.000%C4%91-(chi%E1%BA%BFt-kh%E1%BA%A5u-cao)-i.126102250.15684721193?sp_atk=0afe1fa0-c022-4e44-8251-b51b950a09ef&xptdk=0afe1fa0-c022-4e44-8251-b51b950a09ef,4.902,49000,6762000.0
Thẻ Viettel 10k,https://shopee.vn/Th%E1%BA%BB-Viettel-10k-i.330518145.21933255672?sp_atk=ca2f4e62-74b8-4179-8de8-ae1b73b0d9be&xptdk=ca2f4e62-74b8-4179-8de8-ae1b73b0d9be,4.915,11000,6424000.0
Thẻ cào Viettel 500.000đ Viettel,https://shopee.vn/Th%E1%BA%BB-c%C3%A0o-Viettel-500.000%C4%91-Viettel-i.126102250.2518729440?sp_atk=60cc09bf-e19c-4dae-bd48-308fc949a84c&xptdk=60cc09bf-e19c-4dae-bd48-308fc949a84c,4.903,490000 - 494000,245980000.0 - 247988000.0
