product_name,product_url,product_rating,product_price,product_revenue
Xốp Dán Tường 3D Khổ 70x77CM Chống Ẩm Giá Rẻ,https://shopee.vn/X%E1%BB%91p-D%C3%A1n-T%C6%B0%E1%BB%9Dng-3D-Kh%E1%BB%95-70x77CM-Ch%E1%BB%91ng-%E1%BA%A8m-Gi%C3%A1-R%E1%BA%BB-i.288728459.5453567685?sp_atk=d2db109e-79ea-4b59-a8ae-10d713381cd0&xptdk=d2db109e-79ea-4b59-a8ae-10d713381cd0,4.726,2900 - 6800,9280000000.0 - 21760000000.0
"Kẽm nhung loại 1 (6-9mm) lông đều, mềm mịn set 95-100 sợi làm handmade KN2301",https://shopee.vn/K%E1%BA%BDm-nhung-lo%E1%BA%A1i-1-(6-9mm)-l%C3%B4ng-%C4%91%E1%BB%81u-m%E1%BB%81m-m%E1%BB%8Bn-set-95-100-s%E1%BB%A3i-l%C3%A0m-handmade-KN2301-i.1035831405.22685442794?sp_atk=940907ba-440f-4d05-bc0d-129c5b1642f4&xptdk=940907ba-440f-4d05-bc0d-129c5b1642f4,4.844,24000 - 26000,64800000.0 - 70200000.0
"Set nguyên liệu làm bó hoa Tulip 15 bông bằng kẽm nhung Tặng kèm Thiệp + Đèn, Bộ phụ kiện DIY làm hoa quà tặng sinh nhật",https://shopee.vn/Set-nguy%C3%AAn-li%E1%BB%87u-l%C3%A0m-b%C3%B3-hoa-Tulip-15-b%C3%B4ng-b%E1%BA%B1ng-k%E1%BA%BDm-nhung-T%E1%BA%B7ng-k%C3%A8m-Thi%E1%BB%87p-%C4%90%C3%A8n-B%E1%BB%99-ph%E1%BB%A5-ki%E1%BB%87n-DIY-l%C3%A0m-hoa-qu%C3%A0-t%E1%BA%B7ng-sinh-nh%E1%BA%ADt-i.10072974.17396206603?sp_atk=ee86fe03-de20-4579-8fb7-5a725ee44b50&xptdk=ee86fe03-de20-4579-8fb7-5a725ee44b50,4.422,19000 - 99000,305900000.0 - 1593900000.0
"Set nguyên liệu làm cây thông Noel bằng kẽm nhung Tặng kèm Đèn Led - Bộ phụ kiện DIY làm quà tặng, trang trí Giáng Sinh",https://shopee.vn/Set-nguy%C3%AAn-li%E1%BB%87u-l%C3%A0m-c%C3%A2y-th%C3%B4ng-Noel-b%E1%BA%B1ng-k%E1%BA%BDm-nhung-T%E1%BA%B7ng-k%C3%A8m-%C4%90%C3%A8n-Led-B%E1%BB%99-ph%E1%BB%A5-ki%E1%BB%87n-DIY-l%C3%A0m-qu%C3%A0-t%E1%BA%B7ng-trang-tr%C3%AD-Gi%C3%A1ng-Sinh-i.1012270755.24700328736?sp_atk=49b46221-2e79-4002-aac1-f9564a9b9791&xptdk=49b46221-2e79-4002-aac1-f9564a9b9791,4.776,58000,139200000.0
ORDERR ( >5 BÓ DÁ 20.5K) - Kẽm nhung LOẠI 1 - Kẽm nhung làm hoa - MƠ FLORIST,https://shopee.vn/ORDERR-(-5-B%C3%93-D%C3%81-20.5K)-K%E1%BA%BDm-nhung-LO%E1%BA%A0I-1-K%E1%BA%BDm-nhung-l%C3%A0m-hoa-M%C6%A0-FLORIST-i.175993983.22360167955?sp_atk=92f7916a-bfbf-4603-91a4-0f9e0fb23236&xptdk=92f7916a-bfbf-4603-91a4-0f9e0fb23236,4.985,22000,33000000.0
Kẽm Nhung Handmade Làm Hoa Loại Chuẩn ( Dày và Mịn),https://shopee.vn/K%E1%BA%BDm-Nhung-Handmade-L%C3%A0m-Hoa-Lo%E1%BA%A1i-Chu%E1%BA%A9n-(-D%C3%A0y-v%C3%A0-M%E1%BB%8Bn)-i.49999315.23184584570?sp_atk=48c6468c-76cb-4c02-b55b-7474b672a3a2&xptdk=48c6468c-76cb-4c02-b55b-7474b672a3a2,4.787,14000 - 27000,123200000.0 - 237600000.0
"KẼM NHUNG LOẠI 1, NHUNG DÀY MỊN LÀM HOA KẼM NHUNG VÀ PHỤ KIỆN",https://shopee.vn/K%E1%BA%BCM-NHUNG-LO%E1%BA%A0I-1-NHUNG-D%C3%80Y-M%E1%BB%8AN-L%C3%80M-HOA-K%E1%BA%BCM-NHUNG-V%C3%80-PH%E1%BB%A4-KI%E1%BB%86N-i.100975434.22678335879?sp_atk=0396c059-d707-42e1-b0a4-f84445caf714&xptdk=0396c059-d707-42e1-b0a4-f84445caf714,4.643,10500 - 23500,95550000.0 - 213850000.0
Kẽm nhung loại 1 (cam kết hàng loại 1) bó 100 sợi mix nhiều màu pastel,https://shopee.vn/K%E1%BA%BDm-nhung-lo%E1%BA%A1i-1-(cam-k%E1%BA%BFt-h%C3%A0ng-lo%E1%BA%A1i-1)-b%C3%B3-100-s%E1%BB%A3i-mix-nhi%E1%BB%81u-m%C3%A0u-pastel-i.1097023858.16399434024?sp_atk=e5feeda1-f4ea-42c5-988f-f2b600ca1d41&xptdk=e5feeda1-f4ea-42c5-988f-f2b600ca1d41,4.857,13770 - 35990,99144000.0 - 259128000.0
Kẽm nhung màu pastel bó 100 sợi,https://shopee.vn/K%E1%BA%BDm-nhung-m%C3%A0u-pastel-b%C3%B3-100-s%E1%BB%A3i-i.1109916211.20394983952?sp_atk=f6fc72dd-da2f-4490-a3d0-31e056aec693&xptdk=f6fc72dd-da2f-4490-a3d0-31e056aec693,4.487,5700 - 22000,15390000.0 - 59400000.0
"Set 200 dây kẽm nhung màu pastel Kèm Đèn đom đóm handmade,Dây kẽm lông nhiều màu làm hoa tulip, quà tặng 20/10 02000",https://shopee.vn/Set-200-d%C3%A2y-k%E1%BA%BDm-nhung-m%C3%A0u-pastel-K%C3%A8m-%C4%90%C3%A8n-%C4%91om-%C4%91%C3%B3m-handmade-D%C3%A2y-k%E1%BA%BDm-l%C3%B4ng-nhi%E1%BB%81u-m%C3%A0u-l%C3%A0m-hoa-tulip-qu%C3%A0-t%E1%BA%B7ng-20-10-02000-i.391756.22446622830?sp_atk=4e8ed7ec-4ea0-4820-8376-c66ab0163914&xptdk=4e8ed7ec-4ea0-4820-8376-c66ab0163914,4.471,19000 - 65000,678300000.0 - 2320500000.0
"Bó 100 Kẽm nhung loại 1 làm đồ handmade màu pastel, có ship hoả tốc 2h HCM ( sỉ ib trực tiếp cho shop nha)",https://shopee.vn/B%C3%B3-100-K%E1%BA%BDm-nhung-lo%E1%BA%A1i-1-l%C3%A0m-%C4%91%E1%BB%93-handmade-m%C3%A0u-pastel-c%C3%B3-ship-ho%E1%BA%A3-t%E1%BB%91c-2h-HCM-(-s%E1%BB%89-ib-tr%E1%BB%B1c-ti%E1%BA%BFp-cho-shop-nha)-i.889493203.18094098655?sp_atk=8f195fa9-5ce5-4c3e-9233-5867fe120102&xptdk=8f195fa9-5ce5-4c3e-9233-5867fe120102,4.755,13000 - 23800,50700000.0 - 92820000.0
