product_name,product_url,product_rating,product_price,product_revenue
Viên Rửa Chén Bát Hương Chanh Finish All In 1 Rửa Cực Sạch Nhập Khẩu Châu Âu Chính Hãng 120 Viên/hộp,https://shopee.vn/Vi%C3%AAn-R%E1%BB%ADa-Ch%C3%A9n-B%C3%A1t-H%C6%B0%C6%A1ng-Chanh-Finish-All-In-1-R%E1%BB%ADa-C%E1%BB%B1c-S%E1%BA%A1ch-Nh%E1%BA%ADp-Kh%E1%BA%A9u-Ch%C3%A2u-%C3%82u-Ch%C3%ADnh-H%C3%A3ng-120-Vi%C3%AAn-h%E1%BB%99p-i.511660912.12008349505?sp_atk=124f03ea-e6b7-4830-9a2a-53e020cd1137&xptdk=124f03ea-e6b7-4830-9a2a-53e020cd1137,4.861,113750 - 432000,238875000.0 - 907200000.0
1kg que kem gỗ loại đẹp,https://shopee.vn/1kg-que-kem-g%E1%BB%97-lo%E1%BA%A1i-%C4%91%E1%BA%B9p-i.8865912.247412050?sp_atk=2b1e493d-0ece-48b5-9fb6-76beec24c23c&xptdk=2b1e493d-0ece-48b5-9fb6-76beec24c23c,4.865,17000 - 59000,168300000.0 - 584100000.0
"Nước Ngâm Rửa Rau Củ Quả Sinh Học ENZYCO Hương Dứa 1L, Làm Sạch Thực Phẩm 100% Enzyme Từ Dứa",https://shopee.vn/N%C6%B0%E1%BB%9Bc-Ng%C3%A2m-R%E1%BB%ADa-Rau-C%E1%BB%A7-Qu%E1%BA%A3-Sinh-H%E1%BB%8Dc-ENZYCO-H%C6%B0%C6%A1ng-D%E1%BB%A9a-1L-L%C3%A0m-S%E1%BA%A1ch-Th%E1%BB%B1c-Ph%E1%BA%A9m-100-Enzyme-T%E1%BB%AB-D%E1%BB%A9a-i.354028991.6768836271?sp_atk=ad0250aa-e2f2-43eb-9490-a06ab3e9b60a&xptdk=ad0250aa-e2f2-43eb-9490-a06ab3e9b60a,4.935,89000 - 219000,364900000.0 - 897900000.0
Quả bồ hòn tách hạt (1kg) kèm HDSD (hàng loại 1),https://shopee.vn/Qu%E1%BA%A3-b%E1%BB%93-h%C3%B2n-t%C3%A1ch-h%E1%BA%A1t-(1kg)-k%C3%A8m-HDSD-(h%C3%A0ng-lo%E1%BA%A1i-1)-i.187563787.7003805239?sp_atk=19b2e6c1-8e8f-4937-93ec-e457b2fbb3a2&xptdk=19b2e6c1-8e8f-4937-93ec-e457b2fbb3a2,4.921,51000,698700000.0
Nước rửa trang sức bạc và làm mới nữ trang 50ml QMJ - Q4151,https://shopee.vn/N%C6%B0%E1%BB%9Bc-r%E1%BB%ADa-trang-s%E1%BB%A9c-b%E1%BA%A1c-v%C3%A0-l%C3%A0m-m%E1%BB%9Bi-n%E1%BB%AF-trang-50ml-QMJ-Q4151-i.324534103.12185167707?sp_atk=d74b14ff-754e-4803-81ef-658f7588c9e1&xptdk=d74b14ff-754e-4803-81ef-658f7588c9e1,4.891,25000,8025000.0
Nước lau sàn chuyên dụng dành riêng cho robot hút bụi lau nhà ecovacs deebot / ilife / xiaomi / liectroux/ roborock,https://shopee.vn/N%C6%B0%E1%BB%9Bc-lau-s%C3%A0n-chuy%C3%AAn-d%E1%BB%A5ng-d%C3%A0nh-ri%C3%AAng-cho-robot-h%C3%BAt-b%E1%BB%A5i-lau-nh%C3%A0-ecovacs-deebot-ilife-xiaomi-liectroux-roborock-i.340808548.5063563526?sp_atk=2e49061f-7fe0-4d41-a564-c8f4c01e4640&xptdk=2e49061f-7fe0-4d41-a564-c8f4c01e4640,4.913,55000 - 80000,698500000.0 - 1016000000.0
"Chai Xịt Tẩy trắng quần áo TLEX - DWHITE TẨY ÁO MÀU - TẨY X5000, an toàn sức khỏe, GIÁ RẺ NHẤT",https://shopee.vn/Chai-X%E1%BB%8Bt-T%E1%BA%A9y-tr%E1%BA%AFng-qu%E1%BA%A7n-%C3%A1o-TLEX-DWHITE-T%E1%BA%A8Y-%C3%81O-M%C3%80U-T%E1%BA%A8Y-X5000-an-to%C3%A0n-s%E1%BB%A9c-kh%E1%BB%8Fe-GI%C3%81-R%E1%BA%BA-NH%E1%BA%A4T-i.112414870.16458173698?sp_atk=844b6513-da5c-4122-89e1-03f232c21e5e&xptdk=844b6513-da5c-4122-89e1-03f232c21e5e,4.417,36000 - 49000,54000000.0 - 73500000.0
"[Chính Hãng] Súng Thông Tắc Bồn Cầu, Bồn Rửa, Cống Thoát Sàn, Bằng Khí Nén Hơi, Đa Năng, Áp Lực 8kg - Dụng Cụ Thông Tắc",https://shopee.vn/-Ch%C3%ADnh-H%C3%A3ng-S%C3%BAng-Th%C3%B4ng-T%E1%BA%AFc-B%E1%BB%93n-C%E1%BA%A7u-B%E1%BB%93n-R%E1%BB%ADa-C%E1%BB%91ng-Tho%C3%A1t-S%C3%A0n-B%E1%BA%B1ng-Kh%C3%AD-N%C3%A9n-H%C6%A1i-%C4%90a-N%C4%83ng-%C3%81p-L%E1%BB%B1c-8kg-D%E1%BB%A5ng-C%E1%BB%A5-Th%C3%B4ng-T%E1%BA%AFc-i.161504397.21311006099?sp_atk=af71698d-8a28-4241-9432-4163f4cd45b1&xptdk=af71698d-8a28-4241-9432-4163f4cd45b1,4.653,149900,344770000.0
EcoClean SEPTIC - Men Vi Sinh USA Xử Lý Hầm Cầu Bể Phốt Tránh Hút Hầm - KPT CHEM - Gói 100g,https://shopee.vn/EcoClean-SEPTIC-Men-Vi-Sinh-USA-X%E1%BB%AD-L%C3%BD-H%E1%BA%A7m-C%E1%BA%A7u-B%E1%BB%83-Ph%E1%BB%91t-Tr%C3%A1nh-H%C3%BAt-H%E1%BA%A7m-KPT-CHEM-G%C3%B3i-100g-i.20025144.2080365517?sp_atk=1b20a484-18cc-4da9-85bb-d48824a5860c&xptdk=1b20a484-18cc-4da9-85bb-d48824a5860c,4.879,82000 - 389000,155800000.0 - 739100000.0
Lọ nước Candy cao cấp vệ sinh mắt kính - Kính Mắt Candy,https://shopee.vn/L%E1%BB%8D-n%C6%B0%E1%BB%9Bc-Candy-cao-c%E1%BA%A5p-v%E1%BB%87-sinh-m%E1%BA%AFt-k%C3%ADnh-K%C3%ADnh-M%E1%BA%AFt-Candy-i.203796246.3160462610?sp_atk=cfd2d832-e3ac-49f8-9ee2-832b885b58b0&xptdk=cfd2d832-e3ac-49f8-9ee2-832b885b58b0,4.947,20000,156000000.0
