product_name,product_url,product_rating,product_price,product_revenue
Cát sand liti thơm cho hamster 1kg,https://shopee.vn/C%C3%A1t-sand-liti-th%C6%A1m-cho-hamster-1kg-i.27029364.338344291?sp_atk=b2cc3a4c-7f4c-4842-9dad-bbb2f1bea601&xptdk=b2cc3a4c-7f4c-4842-9dad-bbb2f1bea601,4.928,8000 - 10000,59200000.0 - 74000000.0
"Cát Granet trải nền hồ cá săn mồi, cửu sừng, pleco, catfish, cá chuột...",https://shopee.vn/C%C3%A1t-Granet-tr%E1%BA%A3i-n%E1%BB%81n-h%E1%BB%93-c%C3%A1-s%C4%83n-m%E1%BB%93i-c%E1%BB%ADu-s%E1%BB%ABng-pleco-catfish-c%C3%A1-chu%E1%BB%99t...-i.256500288.16387118493?sp_atk=2ba7b665-a505-4c9f-850f-861373dbefad&xptdk=2ba7b665-a505-4c9f-850f-861373dbefad,4.568,25000 - 45000,12575000.0 - 22635000.0
"Bịch tã lót cho chó đi vệ sinh, tã giấy khay, lồng chuồng thú cưng, mèo siêu thấm hút 100 miếng/50 miếng",https://shopee.vn/B%E1%BB%8Bch-t%C3%A3-l%C3%B3t-cho-ch%C3%B3-%C4%91i-v%E1%BB%87-sinh-t%C3%A3-gi%E1%BA%A5y-khay-l%E1%BB%93ng-chu%E1%BB%93ng-th%C3%BA-c%C6%B0ng-m%C3%A8o-si%C3%AAu-th%E1%BA%A5m-h%C3%BAt-100-mi%E1%BA%BFng-50-mi%E1%BA%BFng-i.9753435.5346037218?sp_atk=98f2c1ca-1aa3-44c3-b8ee-a6d4f9bd5a4f&xptdk=98f2c1ca-1aa3-44c3-b8ee-a6d4f9bd5a4f,4.905,58800 - 81270,70560000.0 - 97524000.0
Khay vệ sinh cho mèo cỡ vừa tới to lớn size M L chậu thành cao chống văng cát,https://shopee.vn/Khay-v%E1%BB%87-sinh-cho-m%C3%A8o-c%E1%BB%A1-v%E1%BB%ABa-t%E1%BB%9Bi-to-l%E1%BB%9Bn-size-M-L-ch%E1%BA%ADu-th%C3%A0nh-cao-ch%E1%BB%91ng-v%C4%83ng-c%C3%A1t-i.211786658.5120472307?sp_atk=2f06fb16-8b33-4108-a2ba-c1cb471b5dcd&xptdk=2f06fb16-8b33-4108-a2ba-c1cb471b5dcd,4.928,49000 - 109000,558600000.0 - 1242600000.0
"Xịt khử mùi hôi chó, mùi nước tiểu và phân chó, chuồng chó, 100% thành phần hữu cơ không độc hại ! I smell good! 300ml",https://shopee.vn/X%E1%BB%8Bt-kh%E1%BB%AD-m%C3%B9i-h%C3%B4i-ch%C3%B3-m%C3%B9i-n%C6%B0%E1%BB%9Bc-ti%E1%BB%83u-v%C3%A0-ph%C3%A2n-ch%C3%B3-chu%E1%BB%93ng-ch%C3%B3-100-th%C3%A0nh-ph%E1%BA%A7n-h%E1%BB%AFu-c%C6%A1-kh%C3%B4ng-%C4%91%E1%BB%99c-h%E1%BA%A1i-!-I-smell-good!-300ml-i.57571168.20032600187?sp_atk=b7147431-1b53-4039-9c08-e76fa307d206&xptdk=b7147431-1b53-4039-9c08-e76fa307d206,4.837,39500,426600000.0
"Vi Sinh Extra Bio Làm Trong Nước, Khử Mùi , Khử Clo, Hàng Công Ty - Guppy Xanh",https://shopee.vn/Vi-Sinh-Extra-Bio-L%C3%A0m-Trong-N%C6%B0%E1%BB%9Bc-Kh%E1%BB%AD-M%C3%B9i-Kh%E1%BB%AD-Clo-H%C3%A0ng-C%C3%B4ng-Ty-Guppy-Xanh-i.195120631.3116982997?sp_atk=1bdd12bb-33c7-4c9b-8f04-4df4ac849f50&xptdk=1bdd12bb-33c7-4c9b-8f04-4df4ac849f50,4.899,49000 - 245000,93100000.0 - 465500000.0
Bịch tã lót chuồng chó mèo bịch nặng 1.2kg siêu thấm hút,https://shopee.vn/B%E1%BB%8Bch-t%C3%A3-l%C3%B3t-chu%E1%BB%93ng-ch%C3%B3-m%C3%A8o-b%E1%BB%8Bch-n%E1%BA%B7ng-1.2kg-si%C3%AAu-th%E1%BA%A5m-h%C3%BAt-i.163295164.11075084731?sp_atk=23d11258-02c7-47c8-8b9e-758211974c93&xptdk=23d11258-02c7-47c8-8b9e-758211974c93,4.905,36500 - 69420,368650000.0 - 701142000.0
Cát mèo Citycat 8l 4kg,https://shopee.vn/C%C3%A1t-m%C3%A8o-Citycat-8l-4kg-i.27029364.17218930944?sp_atk=fb20e49d-ad9d-4a15-900d-24aef15cc0a4&xptdk=fb20e49d-ad9d-4a15-900d-24aef15cc0a4,4.932,38000,353400000.0
Cát buddy trắng lót chuồng hamster,https://shopee.vn/C%C3%A1t-buddy-tr%E1%BA%AFng-l%C3%B3t-chu%E1%BB%93ng-hamster-i.4719264.1550434514?sp_atk=ca68174b-2b5f-476d-8cde-1720859493e7&xptdk=ca68174b-2b5f-476d-8cde-1720859493e7,4.948,25000,122500000.0
Xích đu gắn lồng cho hamster,https://shopee.vn/X%C3%ADch-%C4%91u-g%E1%BA%AFn-l%E1%BB%93ng-cho-hamster-i.9436217.813393241?sp_atk=cb5817f7-c52d-4957-864d-2a12789247fb&xptdk=cb5817f7-c52d-4957-864d-2a12789247fb,4.928,27000,29700000.0
"Bỉm Chó Cái - Bỉm Cho Chó, Mèo Siêu Nhẹ - Sản Xuất Công Nghệ Nhật Bản - Bỉm Chó Đực cũng mặc được",https://shopee.vn/B%E1%BB%89m-Ch%C3%B3-C%C3%A1i-B%E1%BB%89m-Cho-Ch%C3%B3-M%C3%A8o-Si%C3%AAu-Nh%E1%BA%B9-S%E1%BA%A3n-Xu%E1%BA%A5t-C%C3%B4ng-Ngh%E1%BB%87-Nh%E1%BA%ADt-B%E1%BA%A3n-B%E1%BB%89m-Ch%C3%B3-%C4%90%E1%BB%B1c-c%C5%A9ng-m%E1%BA%B7c-%C4%91%C6%B0%E1%BB%A3c-i.99521587.10868128709?sp_atk=1b652981-453b-4ec8-9f60-78c0a4c118b2&xptdk=1b652981-453b-4ec8-9f60-78c0a4c118b2,4.911,59000 - 84000,295000000.0 - 420000000.0
Cát Mèo Đậu Nành | Cát Vệ Sinh Tự Nhiên 100% Cho Mèo | Tofu Cat Litter | Xả Được Trong Toilet 2.5KG 6 Lít #CatCatCat,https://shopee.vn/C%C3%A1t-M%C3%A8o-%C4%90%E1%BA%ADu-N%C3%A0nh-C%C3%A1t-V%E1%BB%87-Sinh-T%E1%BB%B1-Nhi%C3%AAn-100-Cho-M%C3%A8o-Tofu-Cat-Litter-X%E1%BA%A3-%C4%90%C6%B0%E1%BB%A3c-Trong-Toilet-2.5KG-6-L%C3%ADt-CatCatCat-i.878328245.12596901829?sp_atk=a604949f-8a64-41f4-a3b7-fd0179fa83d5&xptdk=a604949f-8a64-41f4-a3b7-fd0179fa83d5,4.847,54900 - 59800,76860000.0 - 83720000.0
"Thảm lót lồng vuông, tròn các cỡ",https://shopee.vn/Th%E1%BA%A3m-l%C3%B3t-l%E1%BB%93ng-vu%C3%B4ng-tr%C3%B2n-c%C3%A1c-c%E1%BB%A1-i.47231117.17728536527?sp_atk=758fbb1e-65ce-46db-b0fb-a69be01ea933&xptdk=758fbb1e-65ce-46db-b0fb-a69be01ea933,4.735,8000 - 11000,20000000.0 - 27500000.0
Khay vệ sinh cho chó nhỏ thành thấp Hoshi Pet KC06 - Khay đái cho chó,https://shopee.vn/Khay-v%E1%BB%87-sinh-cho-ch%C3%B3-nh%E1%BB%8F-th%C3%A0nh-th%E1%BA%A5p-Hoshi-Pet-KC06-Khay-%C4%91%C3%A1i-cho-ch%C3%B3-i.69280830.20952084383?sp_atk=a5df87d5-2469-497d-9747-88c325a7d19a&xptdk=a5df87d5-2469-497d-9747-88c325a7d19a,4.859,69000 - 85000,282900000.0 - 348500000.0
Bỉm tã cho chó mèo Sumiho Space bịch 10 miếng (bỉm quần và bỉm quấn bụng),https://shopee.vn/B%E1%BB%89m-t%C3%A3-cho-ch%C3%B3-m%C3%A8o-Sumiho-Space-b%E1%BB%8Bch-10-mi%E1%BA%BFng-(b%E1%BB%89m-qu%E1%BA%A7n-v%C3%A0-b%E1%BB%89m-qu%E1%BA%A5n-b%E1%BB%A5ng)-i.88651812.21626538908?sp_atk=4c596786-98d1-4be0-be1c-813f0e5011ec&xptdk=4c596786-98d1-4be0-be1c-813f0e5011ec,4.922,75000 - 119000,255000000.0 - 404600000.0
Cát Việt Nam không mùi túi 10kg.,https://shopee.vn/C%C3%A1t-Vi%E1%BB%87t-Nam-kh%C3%B4ng-m%C3%B9i-t%C3%BAi-10kg.-i.133045799.20068322286?sp_atk=43b4ec06-9891-4135-ac8e-076031b43842&xptdk=43b4ec06-9891-4135-ac8e-076031b43842,4.877,51000,81600000.0
Cát tắm thủy tinh hamster,https://shopee.vn/C%C3%A1t-t%E1%BA%AFm-th%E1%BB%A7y-tinh-hamster-i.4719264.1067163058?sp_atk=c6f874c8-dcd9-4249-9431-a1d3a2c73983&xptdk=c6f874c8-dcd9-4249-9431-a1d3a2c73983,4.959,5000 - 11999,86500000.0 - 207582700.0
Giấy lót lồng chim đủ mẫu nhiều kích cỡ dễ dàng sử dụng trọng lượng 1kg,https://shopee.vn/Gi%E1%BA%A5y-l%C3%B3t-l%E1%BB%93ng-chim-%C4%91%E1%BB%A7-m%E1%BA%ABu-nhi%E1%BB%81u-k%C3%ADch-c%E1%BB%A1-d%E1%BB%85-d%C3%A0ng-s%E1%BB%AD-d%E1%BB%A5ng-tr%E1%BB%8Dng-l%C6%B0%E1%BB%A3ng-1kg-i.60114198.17405155820?sp_atk=0f4fa397-efbd-477e-9c5d-afbc50cba458&xptdk=0f4fa397-efbd-477e-9c5d-afbc50cba458,4.743,13000 - 50000,32500000.0 - 125000000.0
Tã lót chuồng cho thú cưng ♥️ Freeship ♥️ Tả lót siêu thấm hút màu xanh size S và M,https://shopee.vn/T%C3%A3-l%C3%B3t-chu%E1%BB%93ng-cho-th%C3%BA-c%C6%B0ng-%E2%99%A5%EF%B8%8F-Freeship-%E2%99%A5%EF%B8%8F-T%E1%BA%A3-l%C3%B3t-si%C3%AAu-th%E1%BA%A5m-h%C3%BAt-m%C3%A0u-xanh-size-S-v%C3%A0-M-i.60163479.5437038014?sp_atk=e133453a-15a3-43f2-bc19-9ee878487832&xptdk=e133453a-15a3-43f2-bc19-9ee878487832,4.936,75000,1957500000.0
Cát vệ sinh cho mèo 18L cát Nhật đen,https://shopee.vn/C%C3%A1t-v%E1%BB%87-sinh-cho-m%C3%A8o-18L-c%C3%A1t-Nh%E1%BA%ADt-%C4%91en-i.221118686.7215589076?sp_atk=b23a5297-7bd5-476f-afa0-92165f8cc1bb&xptdk=b23a5297-7bd5-476f-afa0-92165f8cc1bb,4.949,45900 - 89900,615060000.0 - 1204660000.0
"Combo 3kg cát động lực Kèm khuôn Phương tiện giao thông, lâu đài và động vật - Cát khu vui chơi- Cát vi sinh không dính",https://shopee.vn/Combo-3kg-c%C3%A1t-%C4%91%E1%BB%99ng-l%E1%BB%B1c-K%C3%A8m-khu%C3%B4n-Ph%C6%B0%C6%A1ng-ti%E1%BB%87n-giao-th%C3%B4ng-l%C3%A2u-%C4%91%C3%A0i-v%C3%A0-%C4%91%E1%BB%99ng-v%E1%BA%ADt-C%C3%A1t-khu-vui-ch%C6%A1i-C%C3%A1t-vi-sinh-kh%C3%B4ng-d%C3%ADnh-i.365678623.9528191317?sp_atk=500bde1f-2f9b-4de1-b31a-c95f197a5d83&xptdk=500bde1f-2f9b-4de1-b31a-c95f197a5d83,4.75,169000 - 179000,54925000.0 - 58175000.0
Nhỏ Tai otoklen alkin rận tai chó mèo vật nuôi Pet-1989,https://shopee.vn/Nh%E1%BB%8F-Tai-otoklen-alkin-r%E1%BA%ADn-tai-ch%C3%B3-m%C3%A8o-v%E1%BA%ADt-nu%C3%B4i-Pet-1989-i.242077319.7845192462?sp_atk=34ff0608-8e5c-46dd-86e5-3ded9543a4e6&xptdk=34ff0608-8e5c-46dd-86e5-3ded9543a4e6,4.893,80000 - 89000,96000000.0 - 106800000.0
Tã lót vệ sinh cho chó mèo với chất liệu nhập khẩu thấm hút cực tốt giúp cho bé yêu luôn cảm thấy khô ráo và sạch sẽ,https://shopee.vn/T%C3%A3-l%C3%B3t-v%E1%BB%87-sinh-cho-ch%C3%B3-m%C3%A8o-v%E1%BB%9Bi-ch%E1%BA%A5t-li%E1%BB%87u-nh%E1%BA%ADp-kh%E1%BA%A9u-th%E1%BA%A5m-h%C3%BAt-c%E1%BB%B1c-t%E1%BB%91t-gi%C3%BAp-cho-b%C3%A9-y%C3%AAu-lu%C3%B4n-c%E1%BA%A3m-th%E1%BA%A5y-kh%C3%B4-r%C3%A1o-v%C3%A0-s%E1%BA%A1ch-s%E1%BA%BD-i.192240551.17488903096?sp_atk=08221f25-1dc3-48d1-9f38-e3edad762c35&xptdk=08221f25-1dc3-48d1-9f38-e3edad762c35,4.88,48000 - 85000,25488000.0 - 45135000.0
"(SỈ SLL) Khay vệ sinh cho mèo LunaPet KM04 , Khay vệ sinh giá rẻ tặng kèm xẻng xúc phân cho mèo",https://shopee.vn/(S%E1%BB%88-SLL)-Khay-v%E1%BB%87-sinh-cho-m%C3%A8o-LunaPet-KM04-Khay-v%E1%BB%87-sinh-gi%C3%A1-r%E1%BA%BB-t%E1%BA%B7ng-k%C3%A8m-x%E1%BA%BBng-x%C3%BAc-ph%C3%A2n-cho-m%C3%A8o-i.323555820.8570626260?sp_atk=845dcfcd-ff1e-42ee-82ac-8fe84f97e7dc&xptdk=845dcfcd-ff1e-42ee-82ac-8fe84f97e7dc,4.897,21000 - 49900,384300000.0 - 913170000.0
Giấy lót chuồng cho hamster bọ ú thỏ thú cưng nhỏ nguyên liệu hữu cơ hàng chính hãng JONSANTY gói lớn 450gram/1LB,https://shopee.vn/Gi%E1%BA%A5y-l%C3%B3t-chu%E1%BB%93ng-cho-hamster-b%E1%BB%8D-%C3%BA-th%E1%BB%8F-th%C3%BA-c%C6%B0ng-nh%E1%BB%8F-nguy%C3%AAn-li%E1%BB%87u-h%E1%BB%AFu-c%C6%A1-h%C3%A0ng-ch%C3%ADnh-h%C3%A3ng-JONSANTY-g%C3%B3i-l%E1%BB%9Bn-450gram-1LB-i.767461340.15182457797?sp_atk=ae723d45-cb96-4525-98cf-8929f63fd689&xptdk=ae723d45-cb96-4525-98cf-8929f63fd689,4.983,65000 - 115000,383500000.0 - 678500000.0
"Alkin Mitecyn- thuốc phun trị ghẻ, viêm da cho chó mèo (Loại thẩm thấu cao)",https://shopee.vn/Alkin-Mitecyn-thu%E1%BB%91c-phun-tr%E1%BB%8B-gh%E1%BA%BB-vi%C3%AAm-da-cho-ch%C3%B3-m%C3%A8o-(Lo%E1%BA%A1i-th%E1%BA%A9m-th%E1%BA%A5u-cao)-i.197019.629742989?sp_atk=e5036e5b-45e7-499a-aada-1bb0ac45c699&xptdk=e5036e5b-45e7-499a-aada-1bb0ac45c699,4.854,91000,345800000.0
BỈM TÃ VẢI QUẤN BỤNG CHO CHÓ - TÃ SINH LÝ CHO CHÓ - TÁI SỬ DỤNG NHIỀU LẦN - CHỌN MẪU,https://shopee.vn/B%E1%BB%88M-T%C3%83-V%E1%BA%A2I-QU%E1%BA%A4N-B%E1%BB%A4NG-CHO-CH%C3%93-T%C3%83-SINH-L%C3%9D-CHO-CH%C3%93-T%C3%81I-S%E1%BB%AC-D%E1%BB%A4NG-NHI%E1%BB%80U-L%E1%BA%A6N-CH%E1%BB%8CN-M%E1%BA%AAU-i.69041148.17233377203?sp_atk=2e2b49c9-e32c-46f7-be9f-d8f96f2f9ff5&xptdk=2e2b49c9-e32c-46f7-be9f-d8f96f2f9ff5,4.939,16000 - 59000,30400000.0 - 112100000.0
Cát Việt Nam có mùi thơm túi 10kg.,https://shopee.vn/C%C3%A1t-Vi%E1%BB%87t-Nam-c%C3%B3-m%C3%B9i-th%C6%A1m-t%C3%BAi-10kg.-i.133045799.21325244699?sp_atk=21ee1fe1-e988-4553-91cc-b060f42c46df&xptdk=21ee1fe1-e988-4553-91cc-b060f42c46df,4.851,50310,523224000.0
