product_name,product_url,product_rating,product_price,product_revenue
Áo bọc vali - túi trùm vải thun 3d co giãn 4 chiều - nhựa PVC chống nước 5 size H1991,https://shopee.vn/%C3%81o-b%E1%BB%8Dc-vali-t%C3%BAi-tr%C3%B9m-v%E1%BA%A3i-thun-3d-co-gi%C3%A3n-4-chi%E1%BB%81u-nh%E1%BB%B1a-PVC-ch%E1%BB%91ng-n%C6%B0%E1%BB%9Bc-5-size-H1991-i.67830099.18330980063?sp_atk=850f8704-dfc9-4abc-aab2-49cd1df4476a&xptdk=850f8704-dfc9-4abc-aab2-49cd1df4476a,4.908,51000 - 168200,137700000.0 - 454140000.0
Túi Đựng Mỹ Phẩm Cỡ Lớn Chống Thấm Nước Tiện Dụng Khi Đi Du Lịch,https://shopee.vn/T%C3%BAi-%C4%90%E1%BB%B1ng-M%E1%BB%B9-Ph%E1%BA%A9m-C%E1%BB%A1-L%E1%BB%9Bn-Ch%E1%BB%91ng-Th%E1%BA%A5m-N%C6%B0%E1%BB%9Bc-Ti%E1%BB%87n-D%E1%BB%A5ng-Khi-%C4%90i-Du-L%E1%BB%8Bch-i.186223412.21821099711?sp_atk=0e2cc011-e880-453c-85b3-4ca8cb240767&xptdk=0e2cc011-e880-453c-85b3-4ca8cb240767,4.859,28560 - 73950,82824000.0 - 214455000.0
Ví Hộ Chiếu Passport Cover In Tên Theo Yêu Cầu,https://shopee.vn/V%C3%AD-H%E1%BB%99-Chi%E1%BA%BFu-Passport-Cover-In-T%C3%AAn-Theo-Y%C3%AAu-C%E1%BA%A7u-i.185880634.14779176647?sp_atk=736d934d-e047-4282-8e6d-1264ecc20c20&xptdk=736d934d-e047-4282-8e6d-1264ecc20c20,4.948,40000 - 115000,72000000.0 - 207000000.0
Chai Chiết Nước Hoa Mini 5ml Có Thể Bơm Lại Tiện Dụng Khi Đi Du Lịch,https://shopee.vn/Chai-Chi%E1%BA%BFt-N%C6%B0%E1%BB%9Bc-Hoa-Mini-5ml-C%C3%B3-Th%E1%BB%83-B%C6%A1m-L%E1%BA%A1i-Ti%E1%BB%87n-D%E1%BB%A5ng-Khi-%C4%90i-Du-L%E1%BB%8Bch-i.201521533.22523165570?sp_atk=cf89fd7e-519a-49fb-ad9a-b4b0a60222eb&xptdk=cf89fd7e-519a-49fb-ad9a-b4b0a60222eb,4.815,14000,6272000.0
Túi bọc vali loại tốt mẫu 19-32,https://shopee.vn/T%C3%BAi-b%E1%BB%8Dc-vali-lo%E1%BA%A1i-t%E1%BB%91t-m%E1%BA%ABu-19-32-i.14831432.2689684684?sp_atk=c34441b3-49ad-48ea-ad57-9aaca291177f&xptdk=c34441b3-49ad-48ea-ad57-9aaca291177f,4.915,179000 - 199000,286400000.0 - 318400000.0
Combo 3 túi đựng mỹ phẩm WASHBAG nhiều kích cỡ,https://shopee.vn/Combo-3-t%C3%BAi-%C4%91%E1%BB%B1ng-m%E1%BB%B9-ph%E1%BA%A9m-WASHBAG-nhi%E1%BB%81u-k%C3%ADch-c%E1%BB%A1-i.8458890.19115034776?sp_atk=07f00f5f-48c3-4b4f-810a-054d3f9e4277&xptdk=07f00f5f-48c3-4b4f-810a-054d3f9e4277,4.873,75000,127500000.0
379- Chai không đựng nước hoa trụ Vuông - tròn dài 10ml,https://shopee.vn/379-Chai-kh%C3%B4ng-%C4%91%E1%BB%B1ng-n%C6%B0%E1%BB%9Bc-hoa-tr%E1%BB%A5-Vu%C3%B4ng-tr%C3%B2n-d%C3%A0i-10ml-i.139781716.3344654813?sp_atk=966f1d00-5697-4ed2-8807-d246ea4e12b7&xptdk=966f1d00-5697-4ed2-8807-d246ea4e12b7,4.777,3000 - 7500,119700000.0 - 299250000.0
"Vỏ Mascara 5ml, 10ml, 12ml ❤ Siêu Rẻ ❤ Chai Lọ Chuốt Mi Đựng Dầu Dừa, Chiết Mỹ Phẩm Du Lịch",https://shopee.vn/V%E1%BB%8F-Mascara-5ml-10ml-12ml-%E2%9D%A4-Si%C3%AAu-R%E1%BA%BB-%E2%9D%A4-Chai-L%E1%BB%8D-Chu%E1%BB%91t-Mi-%C4%90%E1%BB%B1ng-D%E1%BA%A7u-D%E1%BB%ABa-Chi%E1%BA%BFt-M%E1%BB%B9-Ph%E1%BA%A9m-Du-L%E1%BB%8Bch-i.872763.467700645?sp_atk=53381d3c-9ee5-4966-850b-d3ee55b73c70&xptdk=53381d3c-9ee5-4966-850b-d3ee55b73c70,4.864,1999 - 8910,41979000.0 - 187110000.0
Gối kê cổ YADOU chữ U vải cotton PP thêu nhân vật hoạt hình đáng yêu tiện lợi,https://shopee.vn/G%E1%BB%91i-k%C3%AA-c%E1%BB%95-YADOU-ch%E1%BB%AF-U-v%E1%BA%A3i-cotton-PP-th%C3%AAu-nh%C3%A2n-v%E1%BA%ADt-ho%E1%BA%A1t-h%C3%ACnh-%C4%91%C3%A1ng-y%C3%AAu-ti%E1%BB%87n-l%E1%BB%A3i-i.619025900.23114526361?sp_atk=84e22857-e657-4bae-b279-5a22fa937ac7&xptdk=84e22857-e657-4bae-b279-5a22fa937ac7,4.831,88000,246400000.0
(Có Sẵn) Cốp đựng mỹ phẩm (Vali nằm size nhỏ) C02,https://shopee.vn/(C%C3%B3-S%E1%BA%B5n)-C%E1%BB%91p-%C4%91%E1%BB%B1ng-m%E1%BB%B9-ph%E1%BA%A9m-(Vali-n%E1%BA%B1m-size-nh%E1%BB%8F)-C02-i.84356929.2245586414?sp_atk=653c87ee-130a-452d-876d-f2dfdb9c7b37&xptdk=653c87ee-130a-452d-876d-f2dfdb9c7b37,4.956,130000,1066000000.0
