product_name,product_url,product_rating,product_price,product_revenue
Vỏ Bể Cá Case Pc. Vỏ Máy tính Giá rẻ mặt kính cường lực,https://shopee.vn/V%E1%BB%8F-B%E1%BB%83-C%C3%A1-Case-Pc.-V%E1%BB%8F-M%C3%A1y-t%C3%ADnh-Gi%C3%A1-r%E1%BA%BB-m%E1%BA%B7t-k%C3%ADnh-c%C6%B0%E1%BB%9Dng-l%E1%BB%B1c-i.26898112.23082333938?sp_atk=0aaba7ff-8fb2-4c18-8c9b-b8516de38e9e&xptdk=0aaba7ff-8fb2-4c18-8c9b-b8516de38e9e,4.946,446000 - 450000,46384000.0 - 46800000.0
MAIN GIGABYTE H81- DS2 TẶNG KÈM FE,https://shopee.vn/MAIN-GIGABYTE-H81-DS2-T%E1%BA%B6NG-K%C3%88M-FE-i.981245049.22940701568?sp_atk=7d27bfe7-4611-4ba8-b2a2-58558232f44d&xptdk=7d27bfe7-4611-4ba8-b2a2-58558232f44d,4.876,370000,92500000.0
VGA Card Đồ Họa Powercolor AMD RX570 8G 1 Cổng DVI kèm dây chuyển DVI to HDMI,https://shopee.vn/VGA-Card-%C4%90%E1%BB%93-H%E1%BB%8Da-Powercolor-AMD-RX570-8G-1-C%E1%BB%95ng-DVI-k%C3%A8m-d%C3%A2y-chuy%E1%BB%83n-DVI-to-HDMI-i.635684977.23074795109?sp_atk=2188a828-9b88-4a5e-84f0-0122a3a6995f&xptdk=2188a828-9b88-4a5e-84f0-0122a3a6995f,4.875,910000 - 1399000,63700000.0 - 97930000.0
[RẺ VÔ ĐỊCH] MAIN GIGA H110M-DS2 zin CÓ FE ĐẦY ĐỦ+ tặng keo tản nhiệt,https://shopee.vn/-R%E1%BA%BA-V%C3%94-%C4%90%E1%BB%8ACH-MAIN-GIGA-H110M-DS2-zin-C%C3%93-FE-%C4%90%E1%BA%A6Y-%C4%90%E1%BB%A6-t%E1%BA%B7ng-keo-t%E1%BA%A3n-nhi%E1%BB%87t-i.405314108.9928360281?sp_atk=900a3897-1102-4676-9794-07a0dbb1487b&xptdk=900a3897-1102-4676-9794-07a0dbb1487b,4.828,435000,236205000.0
cpu i5 4570 / i5 4590 / i5 4670 / i5 4690 / i5 4690k ....socket 1150 / tặng keo tản nhiệt,https://shopee.vn/cpu-i5-4570-i5-4590-i5-4670-i5-4690-i5-4690k-....socket-1150-t%E1%BA%B7ng-keo-t%E1%BA%A3n-nhi%E1%BB%87t-i.424565855.18083283059?sp_atk=af7b37e2-e4d1-46ee-8ab3-3e650f15cbf1&xptdk=af7b37e2-e4d1-46ee-8ab3-3e650f15cbf1,4.983,310000 - 370000,70680000.0 - 84360000.0
Ram Laptop Samsung 8GB Bus 3200 DDR4 - Bảo Hành 3 Năm,https://shopee.vn/Ram-Laptop-Samsung-8GB-Bus-3200-DDR4-B%E1%BA%A3o-H%C3%A0nh-3-N%C4%83m-i.907923403.23207401345?sp_atk=630812b4-b3af-4fc3-a034-b3a6015b7d2a&xptdk=630812b4-b3af-4fc3-a034-b3a6015b7d2a,5.0,428999,62204855.0
Keo tản nhiệt ống chích lớn xám xịn (xi lanh)- Keo Tản Nhiệt Mini Làm Mát CPU,https://shopee.vn/Keo-t%E1%BA%A3n-nhi%E1%BB%87t-%E1%BB%91ng-ch%C3%ADch-l%E1%BB%9Bn-x%C3%A1m-x%E1%BB%8Bn-(xi-lanh)-Keo-T%E1%BA%A3n-Nhi%E1%BB%87t-Mini-L%C3%A0m-M%C3%A1t-CPU-i.118899185.1927354249?sp_atk=e3327b1a-9255-44eb-b42f-cfa94bde76ad&xptdk=e3327b1a-9255-44eb-b42f-cfa94bde76ad,4.874,13000,32500000.0
cpu xeon e3 1225v3 / e3 1245v3 / e3 1220v3 / e3 1271v3 ngang i7 4790 socket 1150/ tặng keo tản nhiệt,https://shopee.vn/cpu-xeon-e3-1225v3-e3-1245v3-e3-1220v3-e3-1271v3-ngang-i7-4790-socket-1150-t%E1%BA%B7ng-keo-t%E1%BA%A3n-nhi%E1%BB%87t-i.424565855.6486084809?sp_atk=e5a9456c-4b46-4785-93b8-5362725ffff5&xptdk=e5a9456c-4b46-4785-93b8-5362725ffff5,4.904,235000 - 290000,157920000.0 - 194880000.0
Chính hãng-Ram laptop Silicon Power DDR4 2133/2400/2666/3200 Mhz SODIMM 4GB/8GB/16GB,https://shopee.vn/Ch%C3%ADnh-h%C3%A3ng-Ram-laptop-Silicon-Power-DDR4-2133-2400-2666-3200-Mhz-SODIMM-4GB-8GB-16GB-i.487827544.12549224779?sp_atk=3a961ee2-808d-40f9-85e7-7f23e2230af2&xptdk=3a961ee2-808d-40f9-85e7-7f23e2230af2,4.885,259000 - 875000,440300000.0 - 1487500000.0
Vỏ Máy Tính. Case Pc bể cá mặt Kính Cường lực Không Viền . No Fan,https://shopee.vn/V%E1%BB%8F-M%C3%A1y-T%C3%ADnh.-Case-Pc-b%E1%BB%83-c%C3%A1-m%E1%BA%B7t-K%C3%ADnh-C%C6%B0%E1%BB%9Dng-l%E1%BB%B1c-Kh%C3%B4ng-Vi%E1%BB%81n-.-No-Fan-i.26898112.19194664004?sp_atk=9a4849fa-680a-46bf-8de6-ff10147c1e36&xptdk=9a4849fa-680a-46bf-8de6-ff10147c1e36,4.735,456000,55632000.0
