product_name,product_url,product_rating,product_price,product_revenue
Labonia-Túi cói đi biển dáng tròn trang trí nơ,https://shopee.vn/Labonia-T%C3%BAi-c%C3%B3i-%C4%91i-bi%E1%BB%83n-d%C3%A1ng-tr%C3%B2n-trang-tr%C3%AD-n%C6%A1-i.149715448.2261921387?sp_atk=dbb03fd5-e0cf-48b1-9386-4d6f90ffa2c9&xptdk=dbb03fd5-e0cf-48b1-9386-4d6f90ffa2c9,4.873,79000,32390000.0
Ví TTWN BEAR TT2301 sz M chính hãng,https://shopee.vn/Vi%CC%81-TTWN-BEAR-TT2301-sz-M-ch%C3%ADnh-h%C3%A3ng-i.69184401.19964584694?sp_atk=a8a9e993-562b-4b11-9926-d821cb4ca78a&xptdk=a8a9e993-562b-4b11-9926-d821cb4ca78a,4.981,274060 - 302460,52893580.0 - 58374780.0
Ví dài cầm tay DR hàng cao cấp full box,https://shopee.vn/V%C3%AD-d%C3%A0i-c%E1%BA%A7m-tay-DR-h%C3%A0ng-cao-c%E1%BA%A5p-full-box-i.7575114.7861818236?sp_atk=af59e120-3829-4b4e-bd50-30be7a41b806&xptdk=af59e120-3829-4b4e-bd50-30be7a41b806,4.929,145000,362500000.0
[MA10701003] Ví gập Cccc bản at full box kèm ảnh thật_ HANA BAG,https://shopee.vn/-MA10701003-V%C3%AD-g%E1%BA%ADp-Cccc-b%E1%BA%A3n-at-full-box-k%C3%A8m-%E1%BA%A3nh-th%E1%BA%ADt_-HANA-BAG-i.368223637.13113839888?sp_atk=c2f9acdb-0d40-4097-bf2d-c9d39002fc0d&xptdk=c2f9acdb-0d40-4097-bf2d-c9d39002fc0d,4.788,92000,450800000.0
Túi Xách Canvas Cỡ Lớn Có Thể Tái Sử Dụng Tiện Lợi Cho Nữ Túi đeo Chéo Nữ Túi Túi Tote Rẻ Túi Canvas Nữ Túi Xách Nữ Cao Cấp Túi Phong Cách Hàn Quốc,https://shopee.vn/T%C3%BAi-X%C3%A1ch-Canvas-C%E1%BB%A1-L%E1%BB%9Bn-C%C3%B3-Th%E1%BB%83-T%C3%A1i-S%E1%BB%AD-D%E1%BB%A5ng-Ti%E1%BB%87n-L%E1%BB%A3i-Cho-N%E1%BB%AF-T%C3%BAi-%C4%91eo-Ch%C3%A9o-N%E1%BB%AF-T%C3%BAi-T%C3%BAi-Tote-R%E1%BA%BB-T%C3%BAi-Canvas-N%E1%BB%AF-Tu%CC%81i-Xa%CC%81ch-Nu%CC%9B%CC%83-Cao-Ca%CC%82%CC%81p-Tu%CC%81i-Phong-Ca%CC%81ch-Ha%CC%80n-Quo%CC%82%CC%81c-i.406955706.21452315884?sp_atk=f6f7eb3f-b70b-4627-b38f-dc1761081ed5&xptdk=f6f7eb3f-b70b-4627-b38f-dc1761081ed5,4.625,42000,1008000.0
"Ví nữ cầm tay, ví đựng tiền, đựng thẻ hoạ tiết houndstooth thời thượng 2022 (kèm video+ảnh thật) HÀNG CÓ SẴN",https://shopee.vn/V%C3%AD-n%E1%BB%AF-c%E1%BA%A7m-tay-v%C3%AD-%C4%91%E1%BB%B1ng-ti%E1%BB%81n-%C4%91%E1%BB%B1ng-th%E1%BA%BB-ho%E1%BA%A1-ti%E1%BA%BFt-houndstooth-th%E1%BB%9Di-th%C6%B0%E1%BB%A3ng-2022-(k%C3%A8m-video-%E1%BA%A3nh-th%E1%BA%ADt)-H%C3%80NG-C%C3%93-S%E1%BA%B4N-i.451934487.9862382689?sp_atk=978ee2f5-3f80-4c3a-a98a-77400cfd44b2&xptdk=978ee2f5-3f80-4c3a-a98a-77400cfd44b2,4.927,33000 - 39000,135300000.0 - 159900000.0
Túi lưới màu đen dùng đựng mỹ phẩm đa năng với sức chứa lớn có khóa kéo an toàn bền bỉ,https://shopee.vn/T%C3%BAi-l%C6%B0%E1%BB%9Bi-m%C3%A0u-%C4%91en-d%C3%B9ng-%C4%91%E1%BB%B1ng-m%E1%BB%B9-ph%E1%BA%A9m-%C4%91a-n%C4%83ng-v%E1%BB%9Bi-s%E1%BB%A9c-ch%E1%BB%A9a-l%E1%BB%9Bn-c%C3%B3-kh%C3%B3a-k%C3%A9o-an-to%C3%A0n-b%E1%BB%81n-b%E1%BB%89-i.164772700.15458116628?sp_atk=647bf28d-078c-4f1b-8306-90294e8cd8a8&xptdk=647bf28d-078c-4f1b-8306-90294e8cd8a8,4.864,17349 - 25139,13289334.0 - 19256474.0
Ví nam nữ thời trang da thật Lata LVN008,https://shopee.vn/V%C3%AD-nam-n%E1%BB%AF-th%E1%BB%9Di-trang-da-th%E1%BA%ADt-Lata-LVN008-i.17384408.382233929?sp_atk=c95138e3-5edd-4775-90df-8d7a410d44c1&xptdk=c95138e3-5edd-4775-90df-8d7a410d44c1,4.902,199000,218900000.0
TÚI C CỐP HAI NGĂN FULLBOX SIZE 19,https://shopee.vn/T%C3%9AI-C-C%E1%BB%90P-HAI-NG%C4%82N-FULLBOX-SIZE-19-i.7829265.2114673037?sp_atk=0662c3c5-8ddd-48b8-ba3b-222033299fdb&xptdk=0662c3c5-8ddd-48b8-ba3b-222033299fdb,4.769,340000,65280000.0
Ví nữ cầm tay bỏ túi họa tiết dễ thương,https://shopee.vn/V%C3%AD-n%E1%BB%AF-c%E1%BA%A7m-tay-b%E1%BB%8F-t%C3%BAi-h%E1%BB%8Da-ti%E1%BA%BFt-d%E1%BB%85-th%C6%B0%C6%A1ng-i.63934208.20532384297?sp_atk=594b0c3a-a004-41aa-8345-01ec391c836b&xptdk=594b0c3a-a004-41aa-8345-01ec391c836b,4.819,14900 - 17000,108770000.0 - 124100000.0
